#28550
#EQUIPPED_BALL_ID:11
# id, name, hasImg, rarity, price, isBought, colorOrPath
0,Basic Red,false,COMMON,0,true,RED
1, Basic Blue, false, COMMON, 0, true, BLUE
2,Basic Cyan,false,COMMON,100,true,CYAN
3, Basic Yellow, false, COMMON, 100, false, YELLOW
4, Basic Orange, false, RARE, 100, false, ORANGE
5,Basic Black,false,RARE,100,true,BLACK
6, Basic Magenta, false, RARE, 500, false, MAGENTA
7, Basic Pink, false, RARE, 500, false, PINK
8,Fire Orb,true,EPIC,1000,true,assets/images/Balls/ball.png
9,Watermelon,true,LEGENDARY,1000,true,assets/images/Balls/watermelon.png
10,Beach Ball,true,LEGENDARY,5000,true,assets/images/Balls/ballBeach.png
11,Pokeball,true,LEGENDARY,5000,true,assets/images/Balls/pokeball.png
12,UET Ball,true,LEGENDARY,5000,true,assets/images/Balls/UET.png

